Scene,Estimated PAH cost,Estimated SAH cost,Real cost with fallback,Intersections with fallback,Real cost without fallback,Intersections without fallback,Only fallback cost,Hit percentage,Overlapping % 4,Overlapping % culled 4,Overlapping % culled 7,Overlapping % culled 10,Overlapping % culled 15,Overlapping % culled 100,Max level,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Acceptable children/father hit probability,Excellent children/father hit probability,Compute cost PAH average,Compute cost SAH average,Compute cost PAH average count,Compute cost SAH average count,Choose split plane PAH average,Choose split plane SAH average,Choose split plane PAH average count,Choose split plane SAH average count
Cottage_Plane_15_Full,109.6944580078125,96.87664031982422,116.12556457519531,76.39900207519531,109.34432220458984,71.7300033569336,62.78887176513672,0.8920000195503235,0.7585887312889099,0.8305443525314331,0.7985946536064148,0.8115112781524658,0.8370075821876526,0.8375058770179749,21,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,370.46856689453125,19.336057662963867,64.01628875732422,65.87432861328125,1.3090846538543701,1.8735861778259277,1.5711183547973633,1.7425718307495117
Sponza_Point_Parallel_Full,186.75717163085938,151.80270385742188,189.47019958496094,112.63700103759766,189.47019958496094,112.63700103759766,189.47019958496094,1.0,0.6739292144775391,0.6353312134742737,0.634998619556427,0.6242912411689758,0.6574346423149109,0.7283191680908203,76,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,10732.763671875,768.8532104492188,60.64939498901367,76.22907257080078,41.02583312988281,51.77473831176758,1.374117136001587,1.4165676832199097
Random100_Point_15_Full,17.53450584411621,21.722366333007813,34.906455993652344,19.0310001373291,18.404829025268555,10.125,18.562034606933594,0.11100000143051147,0.2501043379306793,0.3894498646259308,0.3796157240867615,0.3794598877429962,0.3794598877429962,0.3794598877429962,9,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,11.797404289245605,0.655099630355835,52.767677307128906,77.1919174194336,0.02979997918009758,0.029399989172816277,1.0202020406723022,1.0
Crowd_Point_45_Full,25.041000366210938,177.29884338378906,43.263980865478516,24.19499969482422,41.070003509521484,23.090999603271484,3.152298927307129,0.30399999022483826,0.47484061121940613,0.4920295178890228,0.5083227157592773,0.5306408405303955,0.7184872627258301,0.8249056339263916,27,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,2088.340576171875,352.7417297363281,36.1056022644043,87.7052230834961,18.48390007019043,17.91710662841797,1.3962101936340332,1.1881141662597656
Cottage_Plane_45_Full,127.83847045898438,127.35607147216797,134.9579315185547,87.13099670410156,129.28790283203125,83.38200378417969,46.09755325317383,0.8769999742507935,0.7632433772087097,0.8108100295066833,0.7950282692909241,0.8107209801673889,0.8224940299987793,0.8227003216743469,25,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,127.438720703125,19.456424713134766,41.65037536621094,65.87432861328125,1.2880864143371582,1.8644834756851196,1.8270676136016846,1.7425718307495117
Random1000_Point_Parallel_Full,74.1023178100586,75.20970153808594,108.39836120605469,64.30999755859375,80.92120361328125,48.505001068115234,63.16596984863281,0.5649999976158142,0.3960913419723511,0.6258247494697571,0.6369258761405945,0.6232035756111145,0.6247703433036804,0.6247703433036804,14,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,104.84535217285156,6.67869234085083,51.493492126464844,85.61561584472656,0.31680119037628174,0.31790125370025635,1.0840840339660645,1.0020020008087158
CottageWalls_Plane_Parallel_Full,80.35076141357422,81.02589416503906,80.7739028930664,57.643001556396484,80.6227035522461,57.558998107910156,50.40000534057617,1.0,0.6430315375328064,0.7316436171531677,0.7370960116386414,0.7924869656562805,0.8149488568305969,0.8156616687774658,23,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,191.87838745117188,28.110109329223633,65.63217163085938,69.23839569091797,0.7693001627922058,2.4135849475860596,1.594299077987671,1.638682246208191
Random1000_Point_15_Full,71.36258697509766,75.7627944946289,107.4486083984375,63.65599822998047,78.29754638671875,46.95100021362305,62.8258171081543,0.5360000133514404,0.4191555082798004,0.5652450919151306,0.6199804544448853,0.6186640858650208,0.6199846863746643,0.6199846863746643,13,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,89.7855453491211,6.115891933441162,49.74974822998047,85.61561584472656,0.25900185108184814,0.2715016007423401,1.090090036392212,1.0020020008087158
Wood_Point_45_Full,67.98725891113281,180.3470001220703,87.97947692871094,63.29800033569336,82.3243179321289,60.05500030517578,8.044381141662598,0.296999990940094,0.8151280283927917,0.8179352283477783,0.8262249231338501,0.8319397568702698,0.8441280722618103,0.8441697955131531,26,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,275.432373046875,32.444305419921875,39.65208053588867,66.06138610839844,2.214977502822876,2.7685251235961914,1.6159138679504395,1.545454502105713
CottageWalls_Plane_15_Full,129.9130401611328,77.75753021240234,130.46253967285156,85.49600219726563,130.46253967285156,85.49600219726563,130.46253967285156,1.0,0.6757019758224487,0.7967138290405273,0.7494048476219177,0.7670590877532959,0.7908353805541992,0.7916838526725769,28,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,431.286376953125,28.16050148010254,65.27104187011719,69.23839569091797,1.5195873975753784,2.4054880142211914,1.5601669549942017,1.638682246208191
Random1000_Point_45_Full,81.49211120605469,83.1758804321289,120.57113647460938,70.30400085449219,90.6287841796875,53.138999938964844,57.03313064575195,0.4749999940395355,0.6031944751739502,0.6816650629043579,0.6647902727127075,0.6305475831031799,0.6295117139816284,0.6295117139816284,14,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,72.1620864868164,6.120590686798096,42.42242431640625,85.61561584472656,0.2801016569137573,0.2728016674518585,1.1201201677322388,1.0020020008087158
CottageWalls_Point_Parallel_Full,91.31498718261719,72.54495239257813,98.9657974243164,63.49300003051758,90.8901596069336,58.27399826049805,58.51882553100586,0.8619999885559082,0.5179211497306824,0.7037063837051392,0.652182936668396,0.6697286367416382,0.7226712703704834,0.7267289161682129,22,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,522.1344604492188,28.101482391357422,65.43468475341797,69.23839569091797,1.9881041049957275,2.3912854194641113,1.5304808616638184,1.638682246208191
